"codauto","cpro","iso2.prov.code","nuts.prov.code","ine.prov.name","iso2.prov.name.es","iso2.prov.name.ca","iso2.prov.name.ga","iso2.prov.name.eu","cldr.prov.name.en","cldr.prov.name.es","cldr.prov.name.ca","cldr.prov.name.ga","cldr.prov.name.eu","prov.shortname.en","prov.shortname.es","prov.shortname.ca","prov.shortname.ga","prov.shortname.eu"
"01","04","ES-AL","ES611","Almería","Almería",NA,NA,NA,"Almería","Provincia de Almería","Província d’Almeria","Provincia de Almería","Almeríako probintzia","Almería","Almería","Almeria","Almería","Almería"
"01","11","ES-CA","ES612","Cádiz","Cádiz",NA,NA,NA,"Cádiz","Provincia de Cádiz","Província de Cadis","Provincia de Cádiz","Cádizko probintzia","Cádiz","Cádiz","Cadis","Cádiz","Cádiz"
"01","14","ES-CO","ES613","Córdoba","Córdoba",NA,NA,NA,"Córdoba","Provincia de Córdoba","Província de Còrdova","Provincia de Córdoba","Kordobako probintzia","Córdoba","Córdoba","Còrdova","Córdoba","Kordoba"
"01","18","ES-GR","ES614","Granada","Granada",NA,NA,NA,"Granada","Provincia de Granada","Província de Granada","Provincia de Granada","Granadako probintzia","Granada","Granada","Granada","Granada","Granada"
"01","21","ES-H","ES615","Huelva","Huelva",NA,NA,NA,"Huelva","Provincia de Huelva","Província de Huelva","Provincia de Huelva","Huelvako probintzia","Huelva","Huelva","Huelva","Huelva","Huelva"
"01","23","ES-J","ES616","Jaén","Jaén",NA,NA,NA,"Jaén","Provincia de Jaén","Província de Jaén","Provincia de Xaén","Jaéngo probintzia","Jaén","Jaén","Jaén","Xaén","Jaén"
"01","29","ES-MA","ES617","Málaga","Málaga",NA,NA,NA,"Málaga","Provincia de Málaga","Província de Màlaga","Provincia de Málaga","Málagako probintzia","Málaga","Málaga","Màlaga","Málaga","Málaga"
"01","41","ES-SE","ES618","Sevilla","Sevilla",NA,NA,NA,"Seville","Provincia de Sevilla","Província de Sevilla","Provincia de Sevilla","Sevillako probintzia","Seville","Sevilla","Sevilla","Sevilla","Sevilla"
"02","22","ES-HU","ES241","Huesca","Huesca",NA,NA,NA,"Huesca","Provincia de Huesca","Província d’Osca","Provincia de Huesca - Uesca","Huescako probintzia","Huesca","Huesca","Osca","Huesca","Huesca"
"02","44","ES-TE","ES242","Teruel","Teruel",NA,NA,NA,"Teruel","Provincia de Teruel","Província de Terol","Provincia de Teruel","Teruelgo probintzia","Teruel","Teruel","Terol","Teruel","Teruel"
"02","50","ES-Z","ES243","Zaragoza","Zaragoza",NA,NA,NA,"Zaragoza","Provincia de Zaragoza","Província de Saragossa","Provincia de Zaragoza","Zaragozako probintzia","Zaragoza","Zaragoza","Saragossa","Zaragoza","Zaragoza"
"03","33","ES-O","ES120","Asturias","Asturias",NA,NA,NA,"Asturias","Principado de Asturias","Astúries","Principado de Asturias","Asturiesko Printzerria","Asturias","Asturias","Astúries","Asturias","Asturias"
"04","07","ES-PM",NA,"Balears, Illes","Baleares","Balears",NA,NA,"Balears Province","Islas Baleares","Illes Balears","Illas Baleares","Balear Uharteak","Balearic Islands","Baleares","Illes Balears","Illas Baleares","Balear Uharteak"
"05","35","ES-GC",NA,"Palmas, Las","Las Palmas",NA,NA,NA,"Las Palmas","Provincia de Las Palmas","Província de Las Palmas","Provincia das Palmas","Las Palmasko probintzia","Las Palmas","Las Palmas","Las Palmas","As Palmas","Las Palmas"
"05","38","ES-TF",NA,"Santa Cruz de Tenerife","Santa Cruz de Tenerife",NA,NA,NA,"Santa Cruz de Tenerife","Provincia de Santa Cruz de Tenerife","Província de Santa Cruz de Tenerife","Provincia de Santa Cruz de Tenerife","Santa Cruz Tenerifekoko probintzia","Santa Cruz de Tenerife","Santa Cruz de Tenerife","Santa Cruz de Tenerife","Santa Cruz de Tenerife","Santa Cruz Tenerifekoa"
"06","39","ES-S","ES130","Cantabria","Cantabria",NA,NA,NA,"Cantabria","Cantabria","Cantàbria","Cantabria","Kantabria","Cantabria","Cantabria","Cantàbria","Cantabria","Kantabria"
"07","05","ES-AV","ES411","Ávila","Ávila",NA,NA,NA,"Ávila","Provincia de Ávila","Província d’Àvila","Provincia de Ávila","Ávilako probintzia","Ávila","Ávila","Àvila","Ávila","Ávila"
"07","09","ES-BU","ES412","Burgos","Burgos",NA,NA,NA,"Burgos","Provincia de Burgos","Província de Burgos","Provincia de Burgos","Burgosko probintzia","Burgos","Burgos","Burgos","Burgos","Burgos"
"07","24","ES-LE","ES413","León","León",NA,NA,NA,"León","Provincia de León","Província de Lleó","Provincia de León","Leóngo probintzia","León","León","Lleó","León","León"
"07","34","ES-P","ES414","Palencia","Palencia",NA,NA,NA,"Palencia","Provincia de Palencia","Província de Palència","Provincia de Palencia","Palentziako probintzia","Palencia","Palencia","Palència","Palencia","Palentzia"
"07","37","ES-SA","ES415","Salamanca","Salamanca",NA,NA,NA,"Salamanca","Provincia de Salamanca","Província de Salamanca","Provincia de Salamanca","Salamancako probintzia","Salamanca","Salamanca","Salamanca","Salamanca","Salamanca"
"07","40","ES-SG","ES416","Segovia","Segovia",NA,NA,NA,"Segovia","Provincia de Segovia","Província de Segòvia","Provincia de Segovia","Segoviako probintzia","Segovia","Segovia","Segòvia","Segovia","Segovia"
"07","42","ES-SO","ES417","Soria","Soria",NA,NA,NA,"Soria","Provincia de Soria","Província de Sòria","Provincia de Soria","Soriako probintzia","Soria","Soria","Sòria","Soria","Soria"
"07","47","ES-VA","ES418","Valladolid","Valladolid",NA,NA,NA,"Valladolid","Provincia de Valladolid","Província de Valladolid","Provincia de Valladolid","Valladolideko probintzia","Valladolid","Valladolid","Valladolid","Valladolid","Valladolid"
"07","49","ES-ZA","ES419","Zamora","Zamora",NA,NA,NA,"Zamora","Provincia de Zamora","Província de Zamora","Provincia de Zamora","Zamorako probintzia","Zamora","Zamora","Zamora","Zamora","Zamora"
"08","02","ES-AB","ES421","Albacete","Albacete",NA,NA,NA,"Albacete","Provincia de Albacete","Província d’Albacete","Provincia de Albacete","Albaceteko probintzia","Albacete","Albacete","Albacete","Albacete","Albacete"
"08","13","ES-CR","ES422","Ciudad Real","Ciudad Real",NA,NA,NA,"Ciudad Real","Provincia de Ciudad Real","Província de Ciudad Real","Provincia de Cidade Real - Ciudad Real","Ciudad Realgo probintzia","Ciudad Real","Ciudad Real","Ciudad Real","Cidade Real","Ciudad Real"
"08","16","ES-CU","ES423","Cuenca","Cuenca",NA,NA,NA,"Cuenca","Provincia de Cuenca","Província de Conca","Provincia de Cuenca","Cuencako probintzia","Cuenca","Cuenca","Conca","Cuenca","Cuenca"
"08","19","ES-GU","ES424","Guadalajara","Guadalajara",NA,NA,NA,"Guadalajara","Provincia de Guadalajara","Província de Guadalajara","Provincia de Guadalaxara - Guadalajara","Guadalajarako probintzia","Guadalajara","Guadalajara","Guadalajara","Guadalaxara","Guadalajara"
"08","45","ES-TO","ES425","Toledo","Toledo",NA,NA,NA,"Toledo","Provincia de Toledo","Província de Toledo","Provincia de Toledo","Toledoko probintzia","Toledo","Toledo","Toledo","Toledo","Toledo"
"09","08","ES-B","ES511","Barcelona","Barcelona",NA,NA,NA,"Barcelona","Provincia de Barcelona","Província de Barcelona","Provincia de Barcelona","Bartzelonako probintzia","Barcelona","Barcelona","Barcelona","Barcelona","Bartzelona"
"09","17","ES-GI","ES512","Girona","Gerona","Girona",NA,NA,"Girona","Provincia de Gerona","Província de Girona","Provincia de Xirona - Girona","Gironako probintzia","Girona","Gerona","Girona","Xirona","Girona"
"09","25","ES-L","ES513","Lleida","Lérida","Lleida",NA,NA,"Lleida","Provincia de Lérida","Província de Lleida","Provincia de Lleida","Lleidako probintzia","Lleida","Lérida","Lleida","Lleida","Lleida"
"09","43","ES-T","ES514","Tarragona","Tarragona","Tarragona",NA,NA,"Tarragona","Provincia de Tarragona","Província de Tarragona","Provincia de Tarragona","Tarragonako probintzia","Tarragona","Tarragona","Tarragona","Tarragona","Tarragona"
"10","03","ES-A","ES521","Alicante/Alacant","Alicante","Alacant",NA,NA,"Alicante","Provincia de Alicante","Província d’Alacant","Provincia de Alacant","Alacanteko probintzia","Alicante","Alicante","Alacant","Alacant","Alacant"
"10","12","ES-CS","ES522","Castellón/Castelló","Castellón","Castelló",NA,NA,"Castellón","Provincia de Castellón","Província de Castelló","Provincia de Castelló","Castellóko probintzia","Castellón","Castellón","Castelló","Castelló","Castelló"
"10","46","ES-V","ES523","Valencia/València","Valencia",NA,NA,NA,"Valencia","Provincia de Valencia","Província de València","Provincia de Valencia","Valentziako probintzia","Valencia","Valencia","València","Valencia","Valentzia"
"11","06","ES-BA","ES431","Badajoz","Badajoz",NA,NA,NA,"Badajoz","Provincia de Badajoz","Província de Badajoz","Provincia de Badaxoz","Badajozko probintzia","Badajoz","Badajoz","Badajoz","Badaxoz","Badajoz"
"11","10","ES-CC","ES432","Cáceres","Cáceres",NA,NA,NA,"Cáceres","Provincia de Cáceres","Província de Càceres","Provincia de Cáceres","Cáceresko probintzia","Cáceres","Cáceres","Càceres","Cáceres","Cáceres"
"12","15","ES-C","ES111","Coruña, A","La Coruña",NA,"A Coruña",NA,"A Coruña","Provincia de La Coruña","Província de la Corunya","Provincia da Coruña","Coruñako probintzia","A Coruña","La Coruña","La Corunya","A Coruña","Coruña"
"12","27","ES-LU","ES112","Lugo","Lugo",NA,"Lugo",NA,"Lugo","Provincia de Lugo","Província de Lugo","Provincia de Lugo","Lugoko probintzia","Lugo","Lugo","Lugo","Lugo","Lugo"
"12","32","ES-OR","ES113","Ourense","Orense",NA,"Ourense",NA,"Ourense","Provincia de Orense","Província d’Ourense","Provincia de Ourense","Ourenseko probintzia","Ourense","Orense","Ourense","Ourense","Ourense"
"12","36","ES-PO","ES114","Pontevedra","Pontevedra",NA,"Pontevedra",NA,"Pontevedra","Provincia de Pontevedra","Província de Pontevedra","Provincia de Pontevedra","Pontevedrako probintzia","Pontevedra","Pontevedra","Pontevedra","Pontevedra","Pontevedra"
"13","28","ES-M","ES300","Madrid","Madrid",NA,NA,NA,"Madrid Province","Provincia de Madrid","Província de Madrid",NA,NA,"Madrid","Madrid","Madrid","Madrid","Madril"
"14","30","ES-MU","ES620","Murcia","Murcia",NA,NA,NA,"Murcia","Provincia de Murcia","Província de Múrcia",NA,NA,"Murcia","Murcia","Múrcia","Murcia","Murtzia"
"15","31","ES-NA","ES220","Navarra","Navarra",NA,NA,"Nafarroa","Navarra","Navarra","Navarra","Navarra","Nafarroako Foru Erkidegoa","Navarra","Navarra","Navarra","Navarra","Nafarroa"
"16","01","ES-VI","ES211","Araba/Álava","Álava",NA,NA,"Araba","Álava","Álava","Àlaba","Provincia de Álava - Araba","Araba","Álava","Álava","Àlaba","Áraba","Araba"
"16","20","ES-SS","ES212","Gipuzkoa",NA,NA,NA,"Gipuzkoa","Gipuzkoa","Guipúzcoa","Guipúscoa","Provincia de Guipúscoa - Gipuzkoa","Gipuzkoa","Gipuzkoa","Guipúzcoa","Guipúscoa","Guipúscoa","Gipuzkoa"
"16","48","ES-BI","ES213","Bizkaia",NA,NA,NA,"Bizkaia","Biscay","Vizcaya","Biscaia","Biscaia - Bizkaia","Bizkaia","Biscay","Vizcaya","Biscaia","Biscaia","Bizkaia"
"17","26","ES-LO","ES230","Rioja, La","La Rioja",NA,NA,NA,"La Rioja","La Rioja","La Rioja","A Rioxa","Errioxako Autonomia Erkidegoa","La Rioja","La Rioja","La Rioja","A Rioxa","Errioxa"
"18","51","ES-CE","ES630","Ceuta","Ceuta",NA,NA,NA,"Ceuta","Ceuta","Ceuta","Ceuta","Ceuta","Ceuta","Ceuta","Ceuta","Ceuta","Ceuta"
"19","52","ES-ML","ES640","Melilla","Melilla",NA,NA,NA,"Melilla","Melilla","Melilla","Melilla","Melilla","Melilla","Melilla","Melilla","Melilla","Melilla"
